activity_name,best_match,confidence_score,category
دهن وطلاء بنيات وتغليف الحدران بورق تغليف,ﺣرﻓـــــﻲ ﻓـــــﻲ ﺻـــــﻧﺎﻋﺔ اﻟﺧـــــﻝ و ﻣـــــﺎء اﻟزﻫر,0.907,rejected because has rejistre comercial or hirafi
audio visuel et montage video,Other,0.825,new propodsed
service d'impression numerique a la demande,agent de maintenance sur systèmes d'impression et de reprographie,0.837,exist
metteur vérificateur,Other,0.778,new propodsed
مقاولة في البناء العمراني,ﺣرﻓﻲ ﺑﻧﺎء اﻟﺑﻧﺎء,0.893,rejected because has rejistre comercial or hirafi
exportations des bijoux traditionnels,Other,0.749,new propodsed
paintre bâtiment 🦺 qualifié,Other,0.756,new propodsed
التجارة الاكترونية,محلل التجارة الإلكترونية,0.965,exist
prestations services,Other,0.808,new propodsed
dessinateur projeteur en travaux publics,dessinateur en chaudronnerie,0.854,exist
conseiller en phytothérapie,Other,0.79,new propodsed
conseil et etuddes de projets,Other,0.743,new propodsed
chauffeur vtc,chauffeur vtc (voiture de transport avec chauffeur),0.907,exist
ingénieur agréé en génie civil,مهندس في البستنة,0.867,exist
جمع و فرز المواد بلاستيكية,اﺳﺗرﺟﺎع و رﺣﻲ اﻟﻣواد اﻟﺑﻼﺳﺗﻳﻛﻳﺔ,0.895,rejected because has rejistre comercial or hirafi
sous-traitance architecture,Other,0.633,new propodsed
محلل فني في اسواق المال,Other,0.826,new propodsed
الماكولات التقليدية والشاي,Other,0.756,new propodsed
الحراسة الليلية,Other,0.673,new propodsed
agent commercial,Other,0.757,new propodsed
صيانة و نظافة و تشغيل,مؤسسة التنظيف ، الصيانة و التطهير,0.918,rejected because has rejistre comercial or hirafi
agence immobilière,وكالة عقارية,0.953,rejected because has rejistre comercial or hirafi
بائع مواد التغليف,تاجر متنقل لأدوات التغليف، من كل المواد,0.88,rejected because has rejistre comercial or hirafi
electricien dépanneur,technicien de maintenance électrique,0.931,exist
mécanique automobile,ميكانيكي متنقل للسيارات,0.88,rejected because has rejistre comercial or hirafi
bureau affaire,مكتب أعمال,0.856,rejected because has rejistre comercial or hirafi
fabrication produits cosmétiques et d'hygiène corporel,Other,0.744,new propodsed
تصوير المنتجات والمحلات,Other,0.733,new propodsed
boucherie,Other,0.796,new propodsed
ميكنيك متنقل لسيراة,مرصص متنقل,0.869,rejected because has rejistre comercial or hirafi
livreur auto,مسؤول الاكسسوارات,0.884,exist
commerce,Other,0.786,new propodsed
plombier التركيب الصحي و الغاز,لحام بالغاز المعدني الخامل mig-,0.834,exist
automatisme et électricité industrielle,opérateur sur machines automatisées en production électrique,0.839,exist
technicien en urbanisme,Other,0.799,new propodsed
plombier,technicien de plancher,0.905,exist
formatrice et animatrice en esthétique,Other,0.759,new propodsed
تنظيف الزرابي والافرشة,تنظيف الملابس ، صباغة ومغسل,0.858,rejected because has rejistre comercial or hirafi
sport,منشأة رياضية,0.858,rejected because has rejistre comercial or hirafi
تركيب وصيانة أجهزة التبريد والتكييف,تركيب و تصليح أجهزة التبريد و التكييف,0.934,rejected because has rejistre comercial or hirafi
restauration,ﺗﺻﻠﻳﺢ اﻟﺳﻳﺎﻻت,0.899,rejected because has rejistre comercial or hirafi
rebobinage  moteurs électrique,Other,0.792,new propodsed
"ingenieur expert consultnt,formateur en transport vertical",Other,0.793,new propodsed
réparation smartphones,Other,0.799,new propodsed
وكيل عقاري,وساطة عقارية,0.84,rejected because has rejistre comercial or hirafi
مدرب,مدرب رياضي,0.912,exist
placo latre,Other,0.821,new propodsed
recrutement,Other,0.682,new propodsed
"consultant en matériel hospitalier , chirurgical et endoscopique et consomable",Other,0.785,new propodsed
63609,Other,0.555,new propodsed
controlleur de contenu economique / مراقب محتوى إقتصادي,Other,0.727,new propodsed
جامع الحليب,جمع الحليب,0.902,rejected because has rejistre comercial or hirafi
cake designer /chef pâtissière,Other,0.786,new propodsed
vente et verfcation et recharge materild d incendie,Other,0.812,new propodsed
spécialiste en domotique certifier,Other,0.788,new propodsed
التجارة الإلكترونية,محلل التجارة الإلكترونية,0.984,exist
مطعم خاص بمرضى السكري,Other,0.749,new propodsed
secrétariat خدمات سيكريتاريا,Other,0.787,new propodsed
enseignements de la langue anglaise,Other,0.778,new propodsed
تسليم وتوصيل واستلام الطرود,نقل و توزيع كل البضائع,0.864,rejected because has rejistre comercial or hirafi
formateur en technologie de l'information et de la communication,Other,0.801,new propodsed
confiserie,fraiseur,0.856,exist
formateur en hygiène sécurité industrielle,"superviseur hygiène, sécurité et environnement en industrie",0.899,exist
photographe/film maker,مصلح معدات التصوير الفوتوغرافي,0.902,exist
صناعة أطقم الاسنان,Other,0.77,new propodsed
"expert en gouvernance, risque et conformité",Other,0.792,new propodsed
تاجر في عقارات,Other,0.791,new propodsed
اختصاصي تغدية,اختصاصي تبريد,0.922,exist
dessert,اﻟﺣﻠوى,0.855,rejected because has rejistre comercial or hirafi
الخياطة والطرز,اﻟﺧردوات,0.937,rejected because has rejistre comercial or hirafi
تجارة الالمنيوم و البلاستيك و الخشب والزجاج  و جميع المواد الاخرى,تجارة بالتجزئة لخردوات البناء ، الزجاجة ، الدهن و الخشب,0.841,rejected because has rejistre comercial or hirafi
psychologue en sport pour les athlètes et clubs sportif,Other,0.751,new propodsed
محرر أخبار / editeur de contenu,كاتب سيناريو,0.846,exist
boutique vêtements en ligne,Other,0.757,new propodsed
société de transport marchandises,و كيل نقل البضائع,0.907,rejected because has rejistre comercial or hirafi
"formateur, conseiller.",مدرب مدرسي,0.871,exist
blanchisserie تنظيف و غسل الملابس,تنظيف الملابس ، صباغة ومغسل,0.842,rejected because has rejistre comercial or hirafi
consultant expert en cybersécurité,analyste de la cybersécurité,0.947,exist
صناعة الحجارة المزيفة,Other,0.759,new propodsed
محطة الغسل والتشحيم السيارات,Other,0.826,new propodsed
teneu comptabilité,مؤسسة المحاسبة,0.879,rejected because has rejistre comercial or hirafi
soudor,Other,0.689,new propodsed
تقطير و عصر الزيوت النباتات الطبية و العطرية,Other,0.794,new propodsed
service visa conseil aide et vente,Other,0.645,new propodsed
مطعم,مطعم.,0.995,rejected because has rejistre comercial or hirafi
كاتب ادبي,كاتب أدبي,0.964,exist
كراء المعدات الثقيلة,Other,0.826,new propodsed
la3taya,Other,0.531,new propodsed
vente et réparation de matériel informatique,Other,0.764,new propodsed
placoplâtre,Other,0.703,new propodsed
ساىق للاشخاص,Other,0.774,new propodsed
كراء الات الأشغال العمومية,Other,0.798,new propodsed
élevage et vente de chats de race,Other,0.707,new propodsed
تجارة الكترونية,محلل التجارة الإلكترونية,0.955,exist
توظيب و تغليف المواد الأولية للأنسجة.,توضيب وتغليف المواد الأولية للأنسجة,0.905,rejected because has rejistre comercial or hirafi
pièces auto et maintenance,ميكانيكي صيانة,0.864,exist
freelance,Other,0.729,new propodsed
location de vélo,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟدراﺟﺎت   و اﻟدراﺟﺎت اﻟﻧﺎرﻳﺔ,0.866,rejected because has rejistre comercial or hirafi
mécanicien automobile,ﺣرﻓﻲ ﻣﻳﻛﺎﻧﻳﻛﻲ اﻟﺳﻳﺎرات اﻟﺗﺻﻠﻳﺢ اﻟﻣﻳﻛﺎﻧﻳﻛﻲ ﻟﻠﺳﻳﺎرات,0.913,rejected because has rejistre comercial or hirafi
formateur expert en bureautique,technicien support en bureautique,0.848,exist
تدريب وكوتشينغ,Other,0.551,new propodsed
صناعة الحلويات بكل أنواعها,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.915,rejected because has rejistre comercial or hirafi
دهان,دهان متنقل,0.918,rejected because has rejistre comercial or hirafi
صناعة الحجارة المزيفة,Other,0.759,new propodsed
art plastique ( decoration artistique dessin sculpture),Other,0.734,new propodsed
التداول,وسطاء في عمليات البورصة,0.841,rejected because has rejistre comercial or hirafi
منظم حفلات فنية وثقافية,Other,0.766,new propodsed
بيع اللحوم و مشتقاته,تجارة بالتجزئة لأسلاب الذبيحة و اللحوم المحضرة طازجة,0.913,rejected because has rejistre comercial or hirafi
soin à domicile,aide à domicile,0.853,exist
صناعة حلويات و مخبوزات,ﺻﻧﺎﻋﺔ اﻟﺣﻠوﻳﺎت,0.96,rejected because has rejistre comercial or hirafi
بيع المواد الغذائية بالتجزئة,تجارة بالتجزئة للتغذية العامة الممارسة على العرض,0.86,rejected because has rejistre comercial or hirafi
électricité de bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.91,rejected because has rejistre comercial or hirafi
vente et maintenance materiels informatique,Other,0.778,new propodsed
agence immobilière,وكالة عقارية,0.953,rejected because has rejistre comercial or hirafi
جليسة أطفال,جليسة أطفال,1.0,exist
photographe,photographe,1.0,exist
installation et maintenance de matériel tp,Other,0.74,new propodsed
شركة نظافة,مؤسسة التنظيف ، الصيانة و التطهير,0.924,rejected because has rejistre comercial or hirafi
mode / influenceuse / création de contenu,Other,0.767,new propodsed
artisan des pierres précieuses,Other,0.812,new propodsed
بيع المنتجات الرقمية,Other,0.826,new propodsed
bureau d'etude d'achitecture,directeur des chœurs,0.856,exist
courtier en affrètement et logistique,Other,0.798,new propodsed
infirmier a domicile,infirmier(ère) à domicile,0.904,exist
"développement web, services digitales et activités connexes.",Other,0.747,new propodsed
installation et maintenance de matériel tp,Other,0.74,new propodsed
chauffage central,ﺣرﻓﻲ  ﻓﻲ  ﺗرﻛﻳب  اﻟﻣﺳﺧﻧﺎت اﻟﻣرﻛزﻳﺔ و ﻣﻌدات اﻟﺗدﻓﺋﺔ ﺗرﻛﻳب اﻟﻣﺳﺧﻧﺎت و ﻋﺗﺎد اﻟﺗدﻓﺋﺔ,0.85,rejected because has rejistre comercial or hirafi
صناعة التقليدية للسكاكين و الادوات الحادة,Other,0.749,new propodsed
صيانة وبيع عتاد الحماية ضد الحرائق,تركيب و تصليح معدات المكافحة و الحماية ضد الحريق,0.917,rejected because has rejistre comercial or hirafi
"consulting,etudes technico economiques de marche",Other,0.783,new propodsed
délégué commercial,وكيل تجاري,0.832,rejected because has rejistre comercial or hirafi
chauffeur vtc,chauffeur vtc (voiture de transport avec chauffeur),0.907,exist
présentant et consultant sur le territoire national pour des entreprises étrangères et offshores,Other,0.724,new propodsed
conditionnement de produits  alimentaires,توضيب وتغليف المنتجات والمواد الغذائية,0.892,rejected because has rejistre comercial or hirafi
بيع و تصليح  الهوتف,Other,0.79,new propodsed
technicien en froid,technicien d'intervention en froid industriel,0.926,exist
trading تداول,وسطاء في عمليات البورصة,0.839,rejected because has rejistre comercial or hirafi
ديكور الجبس,عازف الناي,0.929,exist
développement de système scada,Other,0.662,new propodsed
artiste - peintre - portraitiste,وكيل فنان,0.864,exist
portraitiste - dessinateur,affichiste illustrateur,0.884,exist
ingénieur en fiabilité,Other,0.813,new propodsed
consultant en ingénierie,مهندس في البستنة,0.895,exist
location voiture,Other,0.797,new propodsed
استداع تبريد,اﻟرﺗق و اﻟﺗرﻗﻳﻊ,0.901,rejected because has rejistre comercial or hirafi
english,Other,0.647,new propodsed
artisan pour dépannage chez les gens (plombier électricien est),technicien dépanneur petits électroménagers,0.848,exist
hse,Other,0.812,new propodsed
accompagnement des étudiants,Other,0.733,new propodsed
الإشهار و التسويق الاعلامي,Other,0.753,new propodsed
réparation de téléphone portable,ﺣرﻓﻲ ﻓﻲ ﺗﺻﻠﻳﺢ اﻟﻬﺎﺗف اﻟﺛﺎﺑت اﻟﻬﺎﺗف اﻟﻧﻘﺎﻝ وآﻻت اﻻﺗﺻﺎﻝ ﻋن ﺑﻌد,0.879,rejected because has rejistre comercial or hirafi
courtier en oeuvres d'art,chef atelier couture spectacle,0.904,exist
سائق تطبيقات,مطور تطبيقات الجوال,0.898,exist
apiculture,Other,0.728,new propodsed
"producteur des documentaire ,et filme",réalisateur de documentaire,0.902,exist
"formation, préparation de données et installation gmao",Other,0.623,new propodsed
formation en conduite des engins roulants,Other,0.731,new propodsed
مسير قاعة العاب فديو,قاعة ألعاب,0.838,rejected because has rejistre comercial or hirafi
agence de tourisme,وكالة السفر والسياحة,0.961,rejected because has rejistre comercial or hirafi
assistan comptable,المحاسب المعتمد,0.906,rejected because has rejistre comercial or hirafi
المؤثرات البصرية السنمائية,Other,0.769,new propodsed
chef cuisine,chef costumier,0.879,exist
"formation en micronutrition , nutrition  ortomoleculaire et fonctionnelle",Other,0.572,new propodsed
phytotherapie,Other,0.629,new propodsed
"conseils et formation dans le domaine  de l'hygiène ,de la sécurité et de l'environnement",Other,0.792,new propodsed
nutrition  orthomoleculaire,Other,0.561,new propodsed
formateur expert en mécatronique auto,Other,0.829,new propodsed
مختص في الترصيص,technicien support en bureautique,0.878,exist
نجارة,اﻟﺳﺎﻗﻳﺔ,0.893,rejected because has rejistre comercial or hirafi
nutritherapeute,Other,0.646,new propodsed
وكالات سياحية عن بعد,الإقامات السياحية,0.932,rejected because has rejistre comercial or hirafi
technicien en aménagement intérieur,نجار ديكور العرض,0.884,exist
design d'intérieure,Other,0.752,new propodsed
chauffeur vtc,chauffeur vtc (voiture de transport avec chauffeur),0.907,exist
dessinateur projeteur en architecture,architecte en décors spectacle,0.867,exist
التعليق الصوتي,مساعد الصوت,0.886,exist
mécanicien motoriste diesel  des engins et véhicule lourd,Other,0.828,new propodsed
مستشار قانوني,مكتب الاستشارة القانونية,0.911,rejected because has rejistre comercial or hirafi
تقديم خدمة vtc,Other,0.699,new propodsed
- préparation de gâteaux traditionnels,حلويات تقليدية,0.885,rejected because has rejistre comercial or hirafi
استرجاع النفايات,إزالة ومعالجة النفايات,0.897,rejected because has rejistre comercial or hirafi
استشارة محاسبية  وقانونية,Other,0.819,new propodsed
مهندس مدني,مهندس في البستنة,0.885,exist
توليير,braseur,0.833,exist
décorateur d'intérieur,مشغل عرض ديكور,0.882,exist
services,Other,0.801,new propodsed
spécialiste en service après-vente sav automobiles,technicien de conduite auxiliaire,0.879,exist
expert service après-ventes (sav) automobiles,Other,0.68,new propodsed
"assistance  et  redaction administrative   , et  assistance  adminsitrative  numerique",Other,0.666,new propodsed
حلاقة والعناية بالجسم,Other,0.702,new propodsed
حلاقة والعناية بالجسم,Other,0.702,new propodsed
غطاس محترف,Other,0.828,new propodsed
création éducative,Other,0.752,new propodsed
ingenieur des études de construction et réparation navale /مهندس في دراسات صناعة و اصلاح البواخر,ﺻـــــﻧﺎﻋﺔ ﻋـــــوارض ﻣـــــن اﻹﺳـــــﻣﻧت وأﺟر اﻟﺑﻧﺎء و اﻟﺗﺳﻘﻳف,0.865,rejected because has rejistre comercial or hirafi
تحليات ومملحات تقليدية وحد,مضخات و صهاريج,0.856,rejected because has rejistre comercial or hirafi
conseiller d'affaires,مستشار مختص في إدارة الأعمال,0.941,exist
consultant en fiscalité,Other,0.826,new propodsed
consultant en management,consultant en management,1.0,exist
استشارة قانونية,مكتب الاستشارة القانونية,0.924,rejected because has rejistre comercial or hirafi
الاستشارة النفسية والاجتماعية,Other,0.591,new propodsed
التجارة,تجارة بالتجزئة للبزاة,0.891,rejected because has rejistre comercial or hirafi
بيتزيريا / فاست فود/ اكل سريع,إ طعام سريع (فا ست فو د,0.837,rejected because has rejistre comercial or hirafi
تدعيم السياحة,دليل في السياحة,0.93,rejected because has rejistre comercial or hirafi
creative director,Other,0.79,new propodsed
creative director,Other,0.79,new propodsed
expert pièces de rechange auto,mécanicien d'entretien,0.831,exist
بيع قطع الغيار,تجارة بالتجزئة للسخاتة,0.84,rejected because has rejistre comercial or hirafi
consultant bim,Other,0.714,new propodsed
تزين دلخلي والخارجي للمناسبات,Other,0.762,new propodsed
promotions de marque,Other,0.777,new propodsed
"spécialisé dans l'installation de plaques de plâtre, la peinture et la décoration intérieure",Other,0.744,new propodsed
chaffeur vtc,Other,0.587,new propodsed
consulting et suivie des entreprises en chimie industrielle,Other,0.812,new propodsed
business development manager,Other,0.754,new propodsed
formateur(ice) des logiciels de comptabilité,Other,0.69,new propodsed
conseiller en nutrition et diététique,Other,0.716,new propodsed
خبير في تربية الدواجن,Other,0.767,new propodsed
تجارة التجزئة عبر الإنترنت,محلل سوق التجارة الإلكترونية,0.915,exist
رمامة الأسنان,Other,0.753,new propodsed
يوتوبار,Other,0.778,new propodsed
journaliste,مؤسسة صحفية,0.905,rejected because has rejistre comercial or hirafi
fabrication de produits d'entretien pour véhicules,ﺻﻧﺎﻋﺔ ﻟواﺣق ﻣﺧﺗﻠف اﻟﻣرﻛﺑﺎت,0.876,rejected because has rejistre comercial or hirafi
couiffeur,coiffeur spectacle,0.909,exist
technicien supérieur de maintenance en matériel biomédical,technicien de maintenance en matériel biomédical,0.986,exist
الخدمات السياحية والاستشارات,وكالة السفر والسياحة,0.849,rejected because has rejistre comercial or hirafi
الدراسة في الخارج,Other,0.581,new propodsed
decration placo plater,Other,0.676,new propodsed
نجارة الخشب,ﺗذﻫﻳب وﻧﻘش اﻟﺧﺷب,0.911,rejected because has rejistre comercial or hirafi
maintenance de machines électrotechniques,étlectromécanicien de maintenance industrielle,0.935,exist
brand designer / مصمم العلامة التجارية,Other,0.83,new propodsed
التدريب في تنمية الذاتية,Other,0.633,new propodsed
elctricité,رسام دراسات كهربائية,0.876,exist
enseignante en ligne,enseignant(e) en ligne,0.993,exist
فحص السيارات,Other,0.8,new propodsed
شركة اعادة تدوير الاطارات المطاطية (tire  recycling),Other,0.669,new propodsed
بطاقة مقاول مكان سجل تجاري,Other,0.693,new propodsed
agence immobilière ou courtier,وكالة عقارية,0.916,rejected because has rejistre comercial or hirafi
نشاط تربية النحل,Other,0.653,new propodsed
صانع محتوى على وسائل التواصل و فنان,صانع محتوى على وسائل التواصل الاجتماعي,0.846,exist
تزنيك و تسقيف,اﻟﺟﺎﻓﺔ,0.914,rejected because has rejistre comercial or hirafi
vente matériel électricité / تجارة لوازم الكهرباء,ﺣرﻓــــــﻲ ﺻــــــﺎﻧﻊ اﻟﻣﻧﺗﺟــــــﺎت اﻟﺟﻠدﻳــــــﺔ اﻟﻔﻧﻳﺔ,0.848,rejected because has rejistre comercial or hirafi
بيع التذاكر و رحلات أسبوعية سياحية علي الانترنيت,Other,0.742,new propodsed
تركيب بلاط و السرميك وبناء,ﺣرﻓﻲ ﻓﻲ ﺗﺷﻛﻳﻝ ﻗواﻟب ﺻب إﺳﻣﻧت اﻟﺑﻧﺎء,0.92,rejected because has rejistre comercial or hirafi
بناء,اﻟﺑﻧﺎء,0.987,rejected because has rejistre comercial or hirafi
agence immobilière  et courtiers,وكالة عقارية,0.941,rejected because has rejistre comercial or hirafi
service des plateforme touristique en ligne,Other,0.797,new propodsed
crêpes et glaces mobiles,Other,0.818,new propodsed
conseil fiscal,Other,0.679,new propodsed
management et gestion des projets,Other,0.773,new propodsed
conseil en investissement immobilier,إدارة الأملاك العقارية,0.832,rejected because has rejistre comercial or hirafi
بناء عام,اﻟﺑﻧﺎءات,0.903,rejected because has rejistre comercial or hirafi
minwize,Other,0.637,new propodsed
creation :d'une entreprise prestation de service,Other,0.718,new propodsed
ليفرور,لحام,0.858,exist
ingénieur des systèmes et technique de l’audiovisuel,technicien d'exploitation et de maintenance des équipements audiovisuels,0.882,exist
حدادة  تغليف الاصطح خرسانة مسلحة,Other,0.739,new propodsed
"suivi des activités, consulting et formation, santé et gestion",Other,0.7,new propodsed
trading on the stock exchange,وسطاء في عمليات البورصة,0.85,rejected because has rejistre comercial or hirafi
réalisation de cv et lettres de motivation,Other,0.605,new propodsed
تركيب وصيانة اجهزة المراقبة والإنذار والدخول للممتلكات الخاصة والبنوك,Other,0.805,new propodsed
conseil et formation dans le domaine qualité agroalimentaire,Other,0.709,new propodsed
assistant en gestion de ressources humaines / gestion de la paie,assistant de gestion en ressources humaines,0.953,exist
kms,Other,0.647,new propodsed
tous travaux de batiments,تقني في تركيب المصاعد,0.837,exist
kiosque multi service,Other,0.583,new propodsed
tous travaux de batiments,تقني في تركيب المصاعد,0.837,exist
etb tce,Other,0.641,new propodsed
طلاء محترف,Other,0.754,new propodsed
aquaculture,expert en aquaculture,0.888,exist
consultant en intelligence artificielle,chercheur(euse) en intelligence artificielle,0.955,exist
plombier général,technicien galéniste,0.864,exist
organisation de spectacle,Other,0.819,new propodsed
مؤسسة أشغال الكهرباء,electricien en balisage,0.879,exist
prépartion et livraison gateaux et viennoiserie avec livraison,Other,0.718,new propodsed
revetement du sole et decoration,Other,0.81,new propodsed
recyclage,Other,0.814,new propodsed
comptable agrée et commissaire aux comptes,المحاسب المعتمد,0.931,rejected because has rejistre comercial or hirafi
التوجيه والارشاد النفسي والتربوي والاجتماعي,Other,0.675,new propodsed
peinture,peintre en décor spectacle,0.874,exist
صانع ألواح الجبس,صانع قوالب تحتوي على نواة,0.94,exist
froid,Other,0.652,new propodsed
démarcheur,habilleur,0.897,exist
hôtellerie,فندق و مطعم سياحي,0.91,rejected because has rejistre comercial or hirafi
consulting et conseil agricole,agent technique d'assistance et de conseil agricole,0.864,exist
livraison,Other,0.81,new propodsed
3d designer,designer 3d,0.993,exist
حلاقة رجال,ﺣرﻓﻲ ﺣﻼق اﻟرﺟﺎﻝ ﺣﻼﻗﺔ اﻟرﺟﺎﻝ,0.941,rejected because has rejistre comercial or hirafi
طباخ,cuisinier(ère) à domicile,0.856,exist
traduction documents russe français et français russe,Other,0.588,new propodsed
مترجم لغة الاشارة,مقتبس-مترجم,0.841,exist
éléctrien de batiment  et  chauffeur vtc,conducteur de rouleuse cintreuse,0.878,exist
commerce,Other,0.786,new propodsed
conseillé technique,Other,0.76,new propodsed
الطباعة,مركب في الطباعة,0.952,exist
conseiller juridique et fiscale,مكتب الاستشارة القانونية,0.842,rejected because has rejistre comercial or hirafi
maçon en travaux de corps d'état secondaire,Other,0.824,new propodsed
électricien bâtiment,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.908,rejected because has rejistre comercial or hirafi
installation et maintenance des systèmes de vidéo surveillance et détection incendie,Other,0.743,new propodsed
restaurant,مطعم.,0.98,rejected because has rejistre comercial or hirafi
conseil fiscal,Other,0.679,new propodsed
peinture et décoration au placoplâtre ba 13/أعمال الدهان و ديكورات  بلوائح الجبس,Other,0.765,new propodsed
services aux entreprises,مؤسسة خدمات المواني,0.868,rejected because has rejistre comercial or hirafi
trading and analysis of financial markets. .التداول وتحليل أسواق المال,analyste marché financier,0.854,exist
prestataire en services numériques,téléconseiller(ère) pour les plateformes de services en ligne,0.852,exist
بيع و تصليح الهواتف النقالة,Other,0.814,new propodsed
تغليف الواجهات المحلات التجارية بالاليكو بوند,Other,0.699,new propodsed
studio de production musical,Other,0.826,new propodsed
بيع الماابس,Other,0.791,new propodsed
formation de personne en  développement de compétences,Other,0.757,new propodsed
installation system photovoltaïque . kit énergie solaire,Other,0.786,new propodsed
préparation des matériaux de construction,ﻣواد اﻟﺑﻧﺎء,0.923,rejected because has rejistre comercial or hirafi
تزنيك و تسقيف,اﻟﺟﺎﻓﺔ,0.914,rejected because has rejistre comercial or hirafi
plongeur sous marins,Other,0.739,new propodsed
كل انواع الصباغة,Other,0.758,new propodsed
بناء وترميم وخرسانة المنازل والمشاريع,ﺣرﻓﻲ ﺑﻧﺎء اﻟﺑﻧﺎء,0.887,rejected because has rejistre comercial or hirafi
trader dans les marchés financers,محلل السوق المالي,0.936,exist
coach certifié praticien /كوتش ممارس معتمد,Other,0.772,new propodsed
خياطة الأفرشة والستائر,ﺣرﻓﻲ ﺣﻣﺎص اﻟﺗﺣﻣﻳص و اﻟطﺣن,0.886,rejected because has rejistre comercial or hirafi
software developer/engineer مطوّر/مهندس برمجيات,ingénieur de développement informatique,0.873,exist
entreprise d'entretien et de nettoyage,مؤسسة التنظيف ، الصيانة و التطهير,0.938,rejected because has rejistre comercial or hirafi
consultant technique signalisation ferroviaire,Other,0.719,new propodsed
conseiller en assurances des dommages,وكيل عام للتأمينات,0.88,rejected because has rejistre comercial or hirafi
consultant formateur et auditeur en sécurité,Other,0.775,new propodsed
تركيب نظام الدفع المسبق لمحطات الخدمات و الوقود.,Other,0.731,new propodsed
ingénieur chimiste en industrie /confirmé,ingénieur chimiste en industrie,0.922,exist
تصليح الأجهزة المنزلية الصغيرة,تصليح المعدات الكهربائية والإلكترونية المنزلية,0.846,rejected because has rejistre comercial or hirafi
charger de la logistiqeu d'une entreprise de livraiso,و كيل نقل البضائع,0.849,rejected because has rejistre comercial or hirafi
vente matériel parapharmaceutique,Other,0.768,new propodsed
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
aliment de betail - علف الماشية,Other,0.747,new propodsed
compiègne et randonnée,Other,0.703,new propodsed
عامل(ة) تنظيف الواجهات الزجاجية للشركات و المصانع و الادارات,Other,0.767,new propodsed
محام,Other,0.805,new propodsed
71906,Other,0.562,new propodsed
tarvoux public et construction,Other,0.745,new propodsed
ميكانيك السيارات,ميكانيكي متنقل للسيارات,0.882,rejected because has rejistre comercial or hirafi
مهندس طاقات متجددة,Other,0.791,new propodsed
نجار,ﺣرﻓﻲ ﻧﺟﺎر ﻓﻧﻲ,0.898,rejected because has rejistre comercial or hirafi
mécanique automobile,ميكانيكي متنقل للسيارات,0.88,rejected because has rejistre comercial or hirafi
menuiserie,Other,0.797,new propodsed
مرمم أسنان,Other,0.727,new propodsed
formateur et conseiller,مدرب مدرسي,0.853,exist
نقل البضائع,و كيل نقل البضائع,0.928,rejected because has rejistre comercial or hirafi
مهندس طاقة شمسية,Other,0.8,new propodsed
menuiserie,Other,0.797,new propodsed
club entrepreneurial féminin,Other,0.559,new propodsed
"bâtiment (maçonnerie en général, carreleur, plaquiste aux placoplâtre...)",Other,0.754,new propodsed
بيع الحيوانات الأليفة و العصافير,Other,0.805,new propodsed
صيانة انظمة الطاقة الشمسية,تركيب و تصليح المعدات و التجهيزات المرتبطة بميدان الطاقة الشمسية و الكهربائية,0.9,rejected because has rejistre comercial or hirafi
maintenance industrielle,préparateur d'entretien en maintenance industrielle,0.909,exist
مقهى,مقهى,1.0,rejected because has rejistre comercial or hirafi
مقهى,مقهى,1.0,rejected because has rejistre comercial or hirafi
اعادة تدوير خراطيش حبر طابعة,تقني في تركيب المصاعد,0.837,exist
priparation ilectro menagee,Other,0.586,new propodsed
حلاق وتجميل,اﻟرﻓﻳﻊ,0.852,rejected because has rejistre comercial or hirafi
سائق و موزع للطرود لدى مؤسسات البريد السريع,Other,0.829,new propodsed
travaux construction dur et domaine froid,Other,0.808,new propodsed
publicité,maquettiste d'exécution publicitaire,0.857,exist
médecin généraliste retraité à domicile,Other,0.795,new propodsed
prestation service visa,Other,0.626,new propodsed
نشاط تجاري البيع اونلاين,Other,0.822,new propodsed
التداول trading,وسطاء في عمليات البورصة,0.833,rejected because has rejistre comercial or hirafi
صنع. العسل,ﻋﻘدة اﻟﻣﻛﺳرات ﺑﺎﻟﻌﺳﻝ,0.878,rejected because has rejistre comercial or hirafi
directeur artistique,مدير أعمال الفنان,0.954,exist
اعمال البناء والترميم,اﻟﺑﻧﺎء,0.905,rejected because has rejistre comercial or hirafi
digital marketing specialist,responsable marketing digital,0.945,exist
electricité,كهربائي البلاطو,0.886,exist
menuiserie aluminium,Other,0.758,new propodsed
بيع وشراء العملة عن طريق النت,Other,0.732,new propodsed
traveaux sous marin,السمسار البحري,0.841,rejected because has rejistre comercial or hirafi
مشغل ألات cnc,Other,0.788,new propodsed
interprétariat/interprétation,Other,0.754,new propodsed
menuiserie,Other,0.797,new propodsed
menuiserie,Other,0.797,new propodsed
developpeur application web et mobile,Other,0.824,new propodsed
